Paradise Rock Club,967 Commonwealth Avenue Boston MA,904,(617) 562-8800,Mon-Sat: 12pm-6pm,general admission
TT the Bears Place,10 Brookline St Cambridge MA 02139,270,(617) 492-0082,Sun-Mon: 7pm-11pm Tue-Sat: 6pm-12am,general admission
Middle East Upstairs,472-480 Massachusetts Ave Cambridge MA 02139,194,(617) 864-EAST [3278],Mon-Sun: 2pm-8pm,general admission
Middle East Downstairs,472-480 Massachusetts Ave Cambridge MA 02139,575,(617) 864-EAST [3278],Mon-Sun: 2pm-8pm,general admission
Great Scott,1222 Commonwealth Ave Allston MA 02134,240,(617) 566-9014,call ahead,general admission
House of Blues,15 Landsdowne St Boston MA 02215,2425,(888) 693–BLUE [2583],Mon-Sat: 10am-5pm at the Orpheum,general admission
Brighton Music Hall,158 Brighton Avenue Allston MA 02134,340,(617) 779-0140,Mon-Sat: 12pm-6pm at the Paradise,general admission
Orpheum,1 Hamilton Pl Boston MA 02108,2700,(617) 482-0106,Mon-Sat: 10am-5pm,http://www.boston-theater.com/theaters/orpheum-theater/seatingchart.php
Wang Theater,270 Tremont St Boston MA 02116,3600,(617) 482-9393,Tue-Sat: 12pm-6pm,http://www.boston-theater.com/theaters/wang-theater/seatingchart.php

